Title:,Cancelled from the Airline Performance - Arrivals Database,,,,,,,,,,,
SubTitle:,Airline,,,,,,,,,,,
Time:,01/01/2010 - 08/31/2021,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"Bureau of Transportation Statistics, Bureau of Transportation Statistics  (2021-11-25). Cancelled: Cancelled | American Airlines Inc.: AA, American Eagle Airlines Inc.: MQ, Delta Air Lines Inc.: DL, United Air Lines Inc.: UA, 01/01/2010 - 08/31/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  007-001-007 doi:https://doi.org/10.6068/DP17D6D230C7543",,,,,,,,,,,
ColumnCount:,13,,,,,,,,,,,
RowCount:,4231,,,,,,,,,,,
,,,,,,,,,,,,
Time,American Airlines Inc.: AA,American Airlines Inc.: AA,American Airlines Inc.: AA,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,United Air Lines Inc.: UA,United Air Lines Inc.: UA,United Air Lines Inc.: UA
1/15/2011,0,0,0,0,4,0,0,1,1,0,0,0
1/16/2011,1,0,1,0,0,0,0,0,0,0,0,0
1/17/2011,3,1,1,0,0,2,0,0,1,3,0,1
1/18/2011,2,0,2,2,12,3,1,2,13,2,0,1
1/19/2011,1,0,0,1,0,0,0,0,3,0,0,0
1/20/2011,3,0,0,0,0,0,7,0,7,3,2,0
1/21/2011,6,1,1,3,11,0,0,2,13,0,0,0
1/22/2011,1,2,0,0,1,0,0,0,1,0,0,0
1/23/2011,1,1,0,0,0,1,0,1,3,0,0,1
1/24/2011,1,0,0,0,0,1,0,0,1,2,0,0
1/25/2011,8,0,1,0,7,0,1,1,6,0,0,0
1/26/2011,27,24,8,10,27,3,30,9,44,13,9,3
1/27/2011,10,16,3,19,22,1,27,6,40,3,1,1
1/28/2011,1,1,0,0,3,0,5,0,3,0,0,0
1/29/2011,1,2,0,0,0,0,1,1,0,0,0,0
1/30/2011,0,0,0,0,1,0,0,1,2,0,0,0
1/31/2011,3,3,0,0,1,1,2,0,8,1,0,1
2/1/2011,36,24,9,8,23,2,30,9,51,10,12,4
2/2/2011,27,3,8,11,30,4,2,2,28,17,1,6
2/3/2011,8,1,2,7,7,4,0,0,5,7,0,4
2/4/2011,7,5,2,6,7,2,0,1,7,0,0,0
2/5/2011,2,2,1,6,2,0,0,2,1,1,0,0
2/6/2011,3,4,1,1,3,0,1,1,1,1,0,1
2/7/2011,2,1,1,0,2,0,2,2,1,2,0,0
2/8/2011,5,1,2,0,7,0,0,5,6,1,0,2
2/9/2011,6,1,3,0,3,1,0,1,1,0,0,0
2/10/2011,1,0,0,0,3,1,1,0,2,0,0,0
2/11/2011,3,0,1,0,0,0,1,1,1,0,0,0
2/12/2011,1,1,2,0,1,1,1,0,1,0,0,0
2/13/2011,0,0,1,0,1,0,1,0,1,0,0,0
2/14/2011,2,2,1,0,0,0,0,1,3,1,0,0
2/15/2011,5,1,0,0,6,2,0,2,4,1,0,2
2/16/2011,0,0,0,1,2,0,0,0,2,0,0,1
2/17/2011,3,1,1,0,1,1,0,0,1,0,0,0
2/18/2011,0,0,0,0,3,1,0,1,0,0,0,0
2/19/2011,0,0,0,2,0,1,0,1,0,0,0,0
2/20/2011,3,0,0,0,4,1,0,1,7,0,0,1
2/21/2011,4,1,1,0,8,2,0,0,8,1,0,0
2/22/2011,1,0,0,0,4,0,0,0,3,1,0,0
2/23/2011,1,0,0,0,1,0,0,0,1,1,0,1
2/24/2011,3,0,0,0,3,1,1,0,4,1,0,0
2/25/2011,5,0,1,11,14,1,0,2,7,1,0,1
2/26/2011,0,0,0,1,2,0,1,0,0,0,0,0
2/27/2011,0,0,0,1,0,0,0,0,1,2,0,0
2/28/2011,7,1,1,2,12,2,0,1,5,1,0,1
3/1/2011,1,1,0,0,1,1,0,1,1,0,0,0
3/2/2011,4,1,1,0,5,0,0,1,2,1,0,0
3/3/2011,1,0,0,0,2,0,0,0,3,1,0,0
3/4/2011,0,2,1,1,4,0,0,0,2,1,0,0
3/5/2011,2,2,1,0,1,0,0,0,0,0,0,0
3/6/2011,2,1,1,8,3,1,2,1,2,0,0,1
3/7/2011,2,1,0,2,2,0,0,1,0,0,0,2
3/8/2011,1,0,0,0,0,0,0,1,3,0,0,0
3/9/2011,0,1,0,1,3,0,0,1,2,0,0,0
3/10/2011,3,0,0,3,10,2,0,1,5,2,0,0
3/11/2011,0,0,0,2,4,0,0,0,5,0,0,0
3/12/2011,0,1,0,0,0,0,0,0,0,0,0,0
3/13/2011,1,0,0,1,1,0,0,0,0,0,0,0
3/14/2011,3,0,0,1,1,0,0,1,1,0,0,0
3/15/2011,1,1,0,0,3,0,0,0,1,1,0,0
3/16/2011,2,0,1,0,1,0,0,0,3,0,0,0
3/17/2011,1,0,0,2,1,1,0,0,0,0,0,0
3/18/2011,2,0,1,0,0,0,0,0,3,0,0,0
3/19/2011,0,0,0,0,0,0,0,0,2,0,0,0
3/20/2011,1,0,0,1,0,0,0,0,2,0,0,0
3/21/2011,1,0,1,1,4,0,1,1,7,1,0,0
3/22/2011,1,1,0,0,0,0,0,0,0,0,0,0
3/23/2011,5,2,1,1,7,0,2,2,10,3,0,0
3/24/2011,8,2,3,0,3,0,2,0,3,0,0,0
3/25/2011,7,3,3,1,1,0,0,0,0,0,0,0
3/26/2011,3,2,1,0,0,0,0,0,0,0,0,0
3/27/2011,1,1,1,0,0,0,0,1,1,0,0,0
3/28/2011,1,1,1,0,0,0,2,0,0,2,0,1
3/29/2011,0,0,2,0,0,0,0,2,0,0,0,0
3/30/2011,2,0,0,0,1,0,0,2,2,0,0,0
3/31/2011,2,0,0,0,1,1,0,1,1,0,0,0
4/1/2011,4,0,1,0,2,0,1,1,3,2,0,1
4/2/2011,1,0,0,0,1,0,0,0,0,0,0,0
4/3/2011,1,0,0,1,2,1,0,0,1,0,0,0
4/4/2011,0,3,0,0,2,1,0,0,4,0,0,0
4/5/2011,5,1,2,2,10,0,2,1,3,1,0,0
4/6/2011,0,0,1,0,3,0,0,1,3,0,0,0
4/7/2011,0,0,1,0,0,0,0,1,4,0,0,0
4/8/2011,4,0,2,2,0,0,0,0,2,2,0,0
4/9/2011,0,0,0,0,0,0,0,0,0,0,0,0
4/10/2011,1,0,0,0,1,0,0,0,0,0,0,0
4/11/2011,1,0,0,0,6,1,0,0,4,1,0,0
4/12/2011,0,0,0,0,3,0,1,1,1,0,0,0
4/13/2011,2,0,0,2,4,2,0,1,3,0,0,0
4/14/2011,0,0,0,0,1,0,0,1,0,0,0,1
4/15/2011,1,1,1,0,0,0,1,0,5,0,0,0
4/16/2011,0,5,0,13,0,2,4,0,3,0,0,0
4/17/2011,1,0,1,1,1,0,1,0,0,1,0,0
4/18/2011,1,0,0,0,0,0,0,0,3,1,0,0
4/19/2011,8,0,3,0,0,2,0,0,3,2,0,0
4/20/2011,2,0,0,1,4,1,0,0,6,1,0,1
4/21/2011,0,0,2,0,3,1,0,0,0,0,0,0
4/22/2011,4,0,1,1,0,1,0,0,0,1,0,1
4/23/2011,3,0,0,2,1,2,1,0,0,0,0,0
4/24/2011,5,0,1,2,4,1,0,1,3,0,0,0
4/25/2011,2,0,2,6,7,2,0,0,6,0,0,0
4/26/2011,0,0,0,3,2,1,0,1,2,0,2,0
4/27/2011,1,2,1,11,5,3,1,1,1,0,0,0
4/28/2011,11,5,5,17,23,2,8,3,16,3,0,1
4/29/2011,2,1,0,2,5,0,2,0,3,0,0,0
4/30/2011,2,1,0,0,0,0,0,0,0,0,0,0
5/1/2011,1,0,0,2,2,0,0,0,1,0,0,1
5/2/2011,3,0,0,1,0,1,0,0,2,0,0,0
5/3/2011,1,0,1,0,0,0,1,0,2,0,0,0
5/4/2011,0,0,1,2,1,1,1,1,5,1,0,0
5/5/2011,1,0,0,0,1,0,0,0,0,1,0,0
5/6/2011,2,0,1,0,2,0,0,0,0,1,0,0
5/7/2011,1,0,0,1,2,0,1,0,1,0,0,0
5/8/2011,2,0,0,1,2,0,0,0,0,1,0,0
5/9/2011,2,1,1,1,2,0,0,0,0,0,0,1
5/10/2011,1,0,2,1,0,0,0,0,2,0,0,0
5/11/2011,3,0,2,0,1,1,0,0,0,1,0,0
5/12/2011,0,0,1,0,0,1,0,0,1,1,0,1
5/13/2011,4,1,2,2,0,1,0,0,0,1,0,0
5/14/2011,0,1,0,1,0,1,0,0,0,0,0,0
5/15/2011,1,5,2,4,3,0,0,0,0,0,0,0
5/16/2011,6,1,1,1,13,1,0,0,9,3,0,0
5/17/2011,6,0,0,6,5,2,0,1,4,0,0,0
5/18/2011,6,2,2,5,11,0,0,1,4,0,0,0
5/19/2011,2,0,0,1,8,0,0,0,3,1,0,0
5/20/2011,4,3,1,2,2,0,0,0,3,0,0,0
5/21/2011,0,0,0,2,0,0,0,0,0,0,0,1
5/22/2011,1,1,0,0,0,1,0,0,0,0,0,0
5/23/2011,8,0,4,2,6,0,2,0,4,2,0,0
5/24/2011,4,0,2,2,2,0,1,0,0,0,0,0
5/25/2011,10,0,5,3,1,1,0,0,2,3,0,0
5/26/2011,3,3,2,2,5,1,0,2,4,1,0,0
5/27/2011,5,1,2,2,8,0,0,0,1,1,0,0
5/28/2011,0,0,0,1,0,0,0,0,0,0,0,0
5/29/2011,3,0,1,3,0,3,0,0,1,1,0,1
5/30/2011,2,1,1,4,2,1,0,0,0,0,0,0
5/31/2011,3,0,0,2,0,0,0,0,0,0,0,0
6/1/2011,2,0,1,4,7,1,1,0,3,1,0,0
6/2/2011,0,0,2,0,4,0,0,1,1,0,0,0
6/3/2011,1,1,1,1,4,0,0,0,1,1,0,0
6/4/2011,0,0,0,1,2,0,0,0,0,0,0,0
6/5/2011,0,0,0,0,1,0,0,0,1,0,0,0
6/6/2011,1,0,0,0,0,0,1,0,0,1,0,1
6/7/2011,1,0,0,0,2,0,1,0,1,0,0,0
6/8/2011,0,0,0,0,4,0,0,0,0,0,0,0
6/9/2011,9,0,1,10,11,1,0,0,6,5,0,3
6/10/2011,3,0,1,2,7,1,2,0,1,2,0,0
6/11/2011,2,1,1,0,1,0,0,2,2,0,0,0
6/12/2011,1,0,2,1,1,0,0,1,3,0,0,0
6/13/2011,1,1,3,1,0,0,0,0,2,0,0,0
6/14/2011,1,2,1,1,1,0,0,1,1,0,0,1
6/15/2011,5,2,1,2,2,0,0,2,1,0,0,0
6/16/2011,0,0,1,1,0,0,0,1,2,1,0,1
6/17/2011,2,0,1,12,15,1,0,2,9,2,1,3
6/18/2011,1,2,1,5,2,0,2,0,1,0,0,0
6/19/2011,1,1,2,0,0,0,0,2,0,0,0,0
6/20/2011,4,1,0,0,0,0,0,0,0,0,0,0
6/21/2011,5,1,2,0,0,1,0,0,1,5,0,0
6/22/2011,5,1,1,4,9,1,1,1,4,0,0,0
6/23/2011,8,0,1,13,13,1,0,1,6,2,0,1
6/24/2011,8,3,1,13,6,1,2,2,7,2,0,0
6/25/2011,2,0,0,2,0,1,0,0,2,1,0,0
6/26/2011,3,0,2,0,1,0,0,0,0,0,0,1
6/27/2011,1,0,0,1,1,0,0,1,2,0,0,1
6/28/2011,1,0,0,0,1,0,0,1,1,0,0,0
6/29/2011,1,0,0,1,2,1,0,0,1,0,0,0
6/30/2011,7,2,1,2,1,1,0,0,0,1,0,0
7/1/2011,3,1,1,1,0,1,0,0,0,0,0,0
7/2/2011,0,1,0,0,0,1,0,0,0,0,0,0
7/3/2011,0,1,0,8,2,1,0,0,0,0,0,0
7/4/2011,1,2,0,0,1,0,0,0,1,0,0,0
7/5/2011,1,1,0,0,1,0,0,1,0,0,0,0
7/6/2011,3,3,0,1,1,0,0,0,3,1,1,0
7/7/2011,7,4,1,1,5,0,0,1,1,2,0,0
7/8/2011,12,6,1,12,21,2,2,1,14,2,0,1
7/9/2011,0,3,0,1,3,0,1,0,0,1,0,0
7/10/2011,1,1,1,0,0,0,0,0,0,0,0,1
7/11/2011,3,2,0,1,3,0,0,0,0,2,0,0
7/12/2011,3,2,2,1,2,0,1,1,1,1,0,0
7/13/2011,4,1,0,2,4,0,0,1,3,1,1,1
7/14/2011,2,1,2,1,0,0,0,0,0,3,0,0
7/15/2011,2,1,1,1,0,0,0,1,0,2,0,0
7/16/2011,1,2,0,0,0,0,0,0,1,2,0,2
7/17/2011,2,0,1,0,0,0,0,0,0,0,0,0
7/18/2011,4,0,0,0,1,1,0,0,0,0,0,0
7/19/2011,4,0,1,2,5,1,2,0,2,0,0,0
7/20/2011,0,0,0,0,1,0,1,0,3,1,0,0
7/21/2011,2,2,1,0,0,0,1,1,0,0,0,1
7/22/2011,4,0,1,2,2,1,0,1,0,4,0,1
7/23/2011,2,1,1,0,0,0,0,0,0,2,0,2
7/24/2011,0,2,1,0,1,1,0,0,0,0,0,1
7/25/2011,10,0,0,10,15,2,0,2,14,1,0,1
7/26/2011,2,2,0,1,2,0,1,0,2,1,0,0
7/27/2011,2,1,1,1,1,1,0,0,0,0,0,1
7/28/2011,0,0,0,0,2,0,0,0,1,2,0,2
7/29/2011,3,0,0,9,7,1,2,0,4,2,0,0
7/30/2011,0,0,1,1,1,0,0,0,0,0,0,0
7/31/2011,2,0,0,0,1,0,0,0,0,0,0,0
8/1/2011,4,1,1,8,10,0,0,0,7,3,1,0
8/2/2011,2,0,0,3,1,0,1,0,4,3,0,0
8/3/2011,1,2,0,1,2,0,0,1,1,0,0,0
8/4/2011,3,0,2,0,0,0,0,0,1,1,0,1
8/5/2011,1,0,0,0,1,1,0,0,2,0,0,1
8/6/2011,2,0,0,1,0,0,0,0,1,1,0,1
8/7/2011,2,1,1,3,2,1,1,0,2,1,0,0
8/8/2011,1,1,0,4,2,0,1,0,3,0,0,0
8/9/2011,10,2,0,7,10,1,1,0,8,1,0,0
8/10/2011,4,5,2,1,3,0,0,0,1,0,0,0
8/11/2011,0,2,0,0,0,0,0,0,0,0,0,0
8/12/2011,0,0,0,0,1,0,0,0,0,1,0,0
8/13/2011,0,1,0,2,2,2,0,0,0,0,0,0
8/14/2011,0,1,1,14,7,1,0,1,2,0,1,1
8/15/2011,5,0,3,8,16,1,0,0,5,1,0,1
8/16/2011,3,0,1,1,1,0,0,0,1,0,0,0
8/17/2011,2,0,2,0,1,0,0,0,1,1,0,0
8/18/2011,0,1,0,1,4,0,0,0,1,1,0,0
8/19/2011,8,4,1,16,21,2,4,2,6,2,0,2
8/20/2011,0,1,0,3,2,0,1,0,1,0,0,0
8/21/2011,2,0,1,10,10,2,3,1,4,0,0,0
8/22/2011,1,1,1,2,4,1,0,0,0,0,0,0
8/23/2011,0,0,0,3,0,0,0,0,0,0,0,0
8/24/2011,0,1,0,0,0,0,0,1,0,0,0,0
8/25/2011,2,1,1,14,15,0,8,0,8,5,0,0
8/26/2011,3,2,1,1,2,0,0,0,0,6,6,3
8/27/2011,21,36,8,29,37,4,44,11,41,11,8,8
8/28/2011,42,37,11,30,49,4,51,17,62,14,13,8
8/29/2011,0,3,0,7,19,0,5,3,22,4,1,2
8/30/2011,0,0,0,0,0,0,0,0,0,0,0,0
8/31/2011,0,0,0,0,0,0,0,0,1,0,0,0
9/1/2011,0,0,0,0,0,0,0,0,2,0,0,0
9/2/2011,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2011,0,0,0,0,0,1,0,0,0,0,0,0
9/4/2011,0,1,0,0,1,1,0,0,0,0,0,0
9/5/2011,0,1,0,0,0,0,0,0,0,0,0,0
9/6/2011,0,0,0,2,6,1,0,0,4,0,0,0
9/7/2011,5,0,0,7,21,1,0,0,4,2,0,1
9/8/2011,4,0,1,0,11,1,1,1,3,0,0,0
9/9/2011,1,0,0,0,3,0,0,0,0,1,0,0
9/10/2011,0,1,0,0,0,0,0,0,0,0,0,0
9/11/2011,1,4,0,0,0,0,0,0,0,0,0,0
9/12/2011,0,1,0,1,0,0,0,0,0,0,0,0
9/13/2011,0,0,0,0,0,0,0,0,0,0,0,0
9/14/2011,0,1,0,2,2,0,0,0,2,0,0,0
9/15/2011,1,0,0,0,0,0,0,0,1,0,0,0
9/16/2011,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2011,0,1,1,0,0,0,0,0,0,0,0,0
9/18/2011,0,1,1,0,0,0,0,0,0,0,0,0
9/19/2011,1,1,0,0,0,0,0,0,0,1,0,0
9/20/2011,0,0,0,0,1,0,0,1,0,0,0,0
9/21/2011,1,0,0,0,0,0,0,0,0,0,0,1
9/22/2011,0,1,0,0,0,0,0,0,2,0,0,0
9/23/2011,0,1,0,2,3,1,0,0,3,0,0,1
9/24/2011,0,0,0,0,0,0,0,0,0,0,0,0
9/25/2011,0,1,0,0,0,0,0,0,0,0,0,0
9/26/2011,0,0,0,0,0,0,0,0,1,1,0,0
9/27/2011,1,0,0,1,4,0,0,1,4,0,0,0
9/28/2011,0,0,0,0,4,1,0,0,0,1,0,0
9/29/2011,6,0,0,11,30,2,0,2,9,3,0,2
9/30/2011,0,1,0,0,3,0,0,0,1,1,0,0
10/1/2011,0,0,0,1,2,0,1,0,0,0,0,0
10/2/2011,0,0,0,0,1,0,0,0,0,0,0,0
10/3/2011,0,0,0,1,1,0,0,0,0,1,0,0
10/4/2011,0,0,0,0,0,0,0,0,1,0,0,0
10/5/2011,0,0,0,0,1,0,0,0,0,0,0,1
10/6/2011,0,0,0,0,1,0,0,0,0,0,0,0
10/7/2011,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2011,2,2,0,0,0,0,0,0,0,1,0,0
10/9/2011,0,3,1,0,0,0,0,0,0,0,0,0
10/10/2011,1,0,0,0,0,0,0,0,0,0,0,0
10/11/2011,1,0,0,0,0,0,0,0,0,0,0,0
10/12/2011,1,0,0,0,0,0,1,0,1,0,0,0
10/13/2011,1,0,0,0,5,1,1,0,3,2,0,0
10/14/2011,0,0,0,3,6,0,0,0,4,2,0,0
10/15/2011,0,0,0,0,0,0,0,0,1,0,0,0
10/16/2011,0,0,0,0,0,0,0,0,0,0,0,0
10/17/2011,0,0,0,0,0,0,0,0,0,1,0,0
10/18/2011,0,0,0,0,0,0,0,0,0,0,0,0
10/19/2011,0,2,0,1,8,1,0,1,5,2,0,0
10/20/2011,0,0,0,1,0,0,0,0,0,0,0,0
10/21/2011,0,1,0,0,0,0,0,0,0,0,0,0
10/22/2011,1,0,1,0,0,0,0,0,0,0,0,0
10/23/2011,0,0,0,1,0,0,0,0,0,0,0,0
10/24/2011,0,1,0,0,0,0,0,0,0,0,0,0
10/25/2011,0,0,0,0,1,0,1,0,0,0,0,0
10/26/2011,0,0,0,1,1,1,0,0,2,0,0,0
10/27/2011,1,0,1,5,6,1,0,1,3,2,0,0
10/28/2011,0,0,0,0,1,0,0,0,0,0,0,0
10/29/2011,11,11,3,23,15,3,13,6,13,4,0,3
10/30/2011,0,6,0,2,3,0,1,0,0,0,0,0
10/31/2011,0,0,0,0,5,0,0,0,0,0,0,0
11/1/2011,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2011,0,0,0,0,1,0,0,0,0,0,0,0
11/3/2011,0,0,0,0,0,0,0,0,0,0,0,0
11/4/2011,0,0,0,1,0,0,0,0,0,0,0,0
11/5/2011,0,0,0,0,1,0,0,0,0,1,0,0
11/6/2011,0,0,0,0,0,0,0,0,0,0,0,0
11/7/2011,0,1,0,0,0,0,0,0,2,1,0,0
11/8/2011,0,0,0,0,0,0,0,0,0,0,0,1
11/9/2011,0,0,0,0,7,1,0,0,6,0,0,0
11/10/2011,3,0,0,3,16,0,0,0,6,3,0,0
11/11/2011,1,0,0,0,2,0,0,1,3,1,0,0
11/12/2011,0,1,0,0,0,0,0,0,0,0,0,0
11/13/2011,0,0,0,0,0,0,0,0,1,0,0,0
11/14/2011,0,0,0,1,1,0,0,0,0,0,0,0
11/15/2011,0,0,0,0,1,0,0,0,0,0,0,0
11/16/2011,0,0,0,0,3,0,1,0,3,0,0,0
11/17/2011,0,2,0,0,0,0,0,0,3,1,0,0
11/18/2011,0,0,0,0,0,1,0,0,0,0,0,0
11/19/2011,0,0,0,0,0,0,0,0,0,0,0,0
11/20/2011,0,0,0,0,0,0,1,0,0,0,0,0
11/21/2011,0,1,0,0,0,0,0,0,0,0,0,0
11/22/2011,0,0,0,0,0,0,0,0,2,1,0,0
11/23/2011,0,0,0,0,1,0,0,0,5,0,0,0
11/24/2011,0,0,0,0,0,0,1,0,0,0,0,0
11/25/2011,0,0,0,0,0,0,0,0,0,0,0,0
11/26/2011,0,0,0,0,0,0,0,0,0,0,0,0
11/27/2011,0,0,0,0,0,0,0,0,0,0,0,0
11/28/2011,0,0,0,0,0,0,1,0,0,0,0,0
11/29/2011,4,0,1,0,1,2,0,0,1,3,0,2
11/30/2011,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2011,0,0,0,0,0,0,0,0,0,0,1,0
12/2/2011,0,0,0,0,0,0,0,0,1,0,0,0
12/3/2011,0,1,0,0,0,0,0,0,0,0,0,0
12/4/2011,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2011,1,1,0,8,0,0,0,0,3,0,0,0
12/6/2011,0,1,0,0,1,0,0,1,3,0,0,0
12/7/2011,1,0,1,0,3,0,0,0,2,1,0,0
12/8/2011,1,1,0,0,0,1,0,1,2,1,0,1
12/9/2011,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2011,1,0,1,0,0,0,0,0,0,0,0,0
12/11/2011,0,0,1,0,0,0,0,0,0,0,0,0
12/12/2011,1,0,0,0,0,0,0,0,0,0,1,0
12/13/2011,2,0,0,0,0,0,0,0,2,0,0,0
12/14/2011,1,0,0,0,0,0,0,0,1,2,0,0
12/15/2011,0,0,0,0,0,1,0,0,0,0,0,0
12/16/2011,1,0,0,0,1,0,0,0,0,0,0,0
12/17/2011,2,1,0,0,0,0,0,0,0,0,0,0
12/18/2011,0,1,0,0,2,0,0,0,0,0,0,0
12/19/2011,0,0,1,0,0,0,0,0,0,0,0,0
12/20/2011,0,1,0,2,1,0,0,0,0,0,0,0
12/21/2011,0,0,1,1,0,1,0,0,1,0,0,0
12/22/2011,1,0,0,0,0,1,0,0,1,1,0,0
12/23/2011,0,0,0,0,0,0,0,0,1,1,0,0
12/24/2011,0,0,0,0,0,0,0,0,0,0,0,0
12/25/2011,0,0,0,0,0,0,0,0,0,0,0,0
12/26/2011,0,0,0,0,0,0,0,0,1,0,0,0
12/27/2011,0,0,1,4,1,1,0,0,1,0,0,0
12/28/2011,1,0,0,0,0,1,0,0,0,1,0,0
12/29/2011,0,0,0,0,0,0,0,0,0,1,0,0
12/30/2011,0,1,0,0,0,0,0,0,0,1,0,0
12/31/2011,0,0,0,0,0,0,0,0,0,1,0,0
1/1/2012,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2012,0,0,0,0,0,1,0,0,0,2,0,0
1/3/2012,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2012,2,0,0,0,1,0,0,0,0,0,0,0
1/5/2012,1,0,0,0,2,0,0,0,0,0,0,0
1/6/2012,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2012,1,0,0,0,0,0,0,0,0,0,0,0
1/8/2012,1,0,0,0,0,0,1,0,1,0,0,0
1/9/2012,0,0,0,1,1,0,0,0,1,1,0,1
1/10/2012,2,0,0,1,0,0,0,0,0,0,0,0
1/11/2012,0,0,0,0,0,0,0,0,1,0,0,0
1/12/2012,4,0,0,0,1,3,0,1,4,4,0,4
1/13/2012,2,0,0,2,13,0,1,1,2,1,0,0
1/14/2012,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2012,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2012,0,1,0,0,0,0,0,0,0,0,0,0
1/17/2012,0,0,0,0,0,2,0,0,1,1,0,0
1/18/2012,0,1,0,0,2,0,1,2,2,0,0,2
1/19/2012,0,1,0,0,1,0,1,1,0,1,0,1
1/20/2012,8,0,1,0,0,4,2,1,6,5,0,11
1/21/2012,7,9,0,7,19,1,2,1,4,0,0,2
1/22/2012,0,1,0,0,0,1,1,1,2,1,0,0
1/23/2012,3,0,0,0,3,1,0,0,4,3,0,1
1/24/2012,1,0,0,1,0,0,1,0,0,0,0,0
1/25/2012,3,0,2,0,0,0,0,0,1,1,0,2
1/26/2012,0,1,0,0,1,0,0,0,3,0,0,0
1/27/2012,4,0,1,3,9,0,0,1,10,5,0,3
1/28/2012,0,0,0,0,0,0,0,0,1,0,0,0
1/29/2012,1,0,0,0,0,0,0,0,0,0,0,0
1/30/2012,0,0,1,0,0,0,0,1,0,1,0,1
1/31/2012,0,0,0,0,0,0,0,0,1,0,0,0
2/1/2012,2,0,0,0,2,0,0,0,0,0,0,0
2/2/2012,0,0,0,0,1,0,0,0,2,0,0,0
2/3/2012,1,0,0,0,0,0,1,0,0,0,0,0
2/4/2012,2,0,1,0,0,0,1,0,0,0,0,0
2/5/2012,2,0,0,1,1,0,0,0,0,0,0,0
2/6/2012,1,0,0,1,1,0,0,0,0,0,0,0
2/7/2012,0,0,1,0,1,0,0,0,1,0,0,0
2/8/2012,1,0,0,0,0,0,0,0,1,0,0,0
2/9/2012,2,0,0,0,0,0,0,0,1,0,0,0
2/10/2012,3,1,0,0,0,2,0,1,1,2,0,2
2/11/2012,3,4,1,1,7,1,0,0,1,0,0,3
2/12/2012,1,0,1,0,0,1,0,0,0,0,0,0
2/13/2012,1,0,1,0,0,0,0,0,0,1,0,0
2/14/2012,0,0,0,0,0,0,0,0,1,0,0,1
2/15/2012,1,1,0,0,0,0,0,0,0,1,0,1
2/16/2012,1,0,0,0,0,0,0,0,1,0,0,0
2/17/2012,0,0,0,0,0,0,0,0,0,1,0,0
2/18/2012,0,0,0,0,0,0,0,0,0,0,0,0
2/19/2012,0,0,0,1,0,0,0,0,0,0,0,0
2/20/2012,0,0,0,0,0,0,0,0,0,1,0,0
2/21/2012,1,1,1,0,0,0,0,0,0,0,0,0
2/22/2012,1,2,1,0,0,0,0,0,0,0,0,0
2/23/2012,2,0,0,0,1,1,0,0,1,1,0,1
2/24/2012,4,1,0,1,5,3,0,1,5,3,0,2
2/25/2012,0,0,0,0,0,1,0,0,0,0,0,0
2/26/2012,0,0,0,1,0,0,0,0,0,0,0,1
2/27/2012,0,0,0,0,0,0,0,0,0,1,0,0
2/28/2012,0,0,0,0,0,0,0,0,0,0,0,0
2/29/2012,0,1,1,2,1,1,0,0,2,0,0,0
3/1/2012,0,0,0,1,2,0,0,0,4,0,0,2
3/2/2012,4,0,0,0,1,2,1,0,1,1,0,1
3/3/2012,2,0,1,1,1,0,0,1,0,0,0,2
3/4/2012,0,0,0,1,0,0,0,0,0,1,0,0
3/5/2012,0,0,0,0,1,0,0,0,3,0,1,0
3/6/2012,1,0,0,0,0,0,0,0,1,0,0,0
3/7/2012,0,0,0,1,0,0,0,0,1,0,0,0
3/8/2012,0,0,0,0,1,1,0,0,0,1,0,0
3/9/2012,0,0,0,0,0,0,0,0,0,0,0,1
3/10/2012,0,1,0,0,0,0,0,0,0,0,0,1
3/11/2012,0,0,0,0,1,0,0,0,0,0,0,1
3/12/2012,0,1,0,0,0,0,0,0,2,0,0,0
3/13/2012,0,0,0,0,0,0,0,0,0,0,0,1
3/14/2012,0,1,0,0,0,0,0,0,1,0,0,0
3/15/2012,0,0,1,2,0,0,0,0,0,1,0,1
3/16/2012,0,2,0,3,0,0,0,0,3,2,0,0
3/17/2012,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2012,2,1,0,1,0,0,0,0,1,0,0,2
3/19/2012,0,0,0,0,0,0,0,0,0,0,1,2
3/20/2012,4,0,2,0,7,0,0,1,2,3,0,1
3/21/2012,0,0,2,0,0,1,0,0,2,0,0,0
