Title:,Cancelled from the Airline Performance - Arrivals Database,,,,,,,,,,,
SubTitle:,Airline,,,,,,,,,,,
Time:,01/01/2010 - 08/31/2021,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"Bureau of Transportation Statistics, Bureau of Transportation Statistics  (2021-11-25). Cancelled: Cancelled | American Airlines Inc.: AA, American Eagle Airlines Inc.: MQ, Delta Air Lines Inc.: DL, United Air Lines Inc.: UA, 01/01/2010 - 08/31/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  007-001-007 doi:https://doi.org/10.6068/DP17D6D230C7543",,,,,,,,,,,
ColumnCount:,13,,,,,,,,,,,
RowCount:,4231,,,,,,,,,,,
,,,,,,,,,,,,
Time,American Airlines Inc.: AA,American Airlines Inc.: AA,American Airlines Inc.: AA,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,United Air Lines Inc.: UA,United Air Lines Inc.: UA,United Air Lines Inc.: UA
3/29/2010,1,0,0,1,0,,0,0,2,0,0,1
3/30/2010,2,2,2,1,7,,0,2,8,2,0,1
3/31/2010,0,1,0,0,0,,0,0,1,0,0,0
4/1/2010,1,0,0,0,0,,0,0,2,0,0,0
4/2/2010,1,1,1,0,0,,0,0,0,0,0,0
4/3/2010,0,0,0,0,0,,0,0,0,0,0,0
4/4/2010,0,1,0,0,1,,0,0,0,0,0,0
4/5/2010,0,0,0,0,0,,1,0,2,0,0,0
4/6/2010,0,1,0,0,0,0,0,0,0,1,0,0
4/7/2010,2,0,0,0,2,0,0,1,1,1,1,1
4/8/2010,0,0,0,0,1,0,0,0,0,0,1,0
4/9/2010,2,0,0,0,0,0,0,0,1,1,0,0
4/10/2010,0,0,1,0,0,0,0,0,0,0,0,0
4/11/2010,0,1,0,0,0,0,0,0,0,1,0,0
4/12/2010,0,1,0,0,0,0,1,0,1,0,0,1
4/13/2010,0,1,0,0,0,0,1,0,0,1,0,1
4/14/2010,0,0,0,0,0,0,0,1,0,0,0,0
4/15/2010,0,0,0,0,1,1,0,1,0,1,0,0
4/16/2010,0,0,0,1,0,0,0,0,0,0,0,0
4/17/2010,0,0,0,0,0,0,0,0,0,0,0,0
4/18/2010,0,0,0,0,1,0,0,0,1,0,0,0
4/19/2010,0,0,0,0,1,0,0,0,1,0,0,0
4/20/2010,0,0,1,0,0,0,0,0,0,1,0,0
4/21/2010,0,0,0,0,0,0,0,0,1,1,0,0
4/22/2010,0,0,2,0,0,0,0,0,0,0,0,0
4/23/2010,0,0,0,0,0,0,0,0,1,0,0,0
4/24/2010,0,0,0,0,0,0,0,2,1,0,0,0
4/25/2010,1,0,0,2,1,1,0,0,0,0,0,0
4/26/2010,2,1,0,3,1,0,2,0,2,1,0,0
4/27/2010,1,1,3,0,1,1,0,1,1,0,0,0
4/28/2010,3,0,2,0,0,0,0,0,1,1,0,0
4/29/2010,0,0,0,2,0,1,0,0,1,0,0,0
4/30/2010,1,0,0,0,1,0,0,0,4,0,0,1
5/1/2010,0,0,0,0,0,0,0,0,1,0,0,0
5/2/2010,7,5,2,0,5,0,0,0,1,0,0,0
5/3/2010,3,3,1,3,0,0,0,1,2,0,0,0
5/4/2010,0,1,1,1,1,0,0,1,1,0,0,0
5/5/2010,1,1,1,0,0,0,0,2,0,0,0,0
5/6/2010,0,0,0,0,0,0,0,0,0,0,0,0
5/7/2010,1,0,1,0,0,0,0,0,0,1,0,1
5/8/2010,0,0,1,3,0,0,0,0,0,0,0,0
5/9/2010,0,2,0,11,1,0,7,0,1,0,0,0
5/10/2010,1,1,0,0,1,0,0,1,1,0,0,0
5/11/2010,1,0,0,0,0,0,0,0,0,2,0,0
5/12/2010,0,0,1,2,0,1,0,1,3,1,0,1
5/13/2010,2,2,1,1,0,0,0,0,1,1,0,1
5/14/2010,5,0,2,0,0,0,0,1,3,0,0,0
5/15/2010,1,1,0,1,0,0,1,0,0,0,0,0
5/16/2010,0,4,0,0,0,0,0,0,0,0,0,0
5/17/2010,0,2,0,0,0,0,0,0,1,0,0,0
5/18/2010,0,1,0,1,1,1,0,2,2,0,0,0
5/19/2010,0,1,1,0,1,0,0,0,4,0,0,0
5/20/2010,0,1,0,0,0,0,0,1,0,0,0,0
5/21/2010,0,0,0,0,0,0,0,1,4,0,0,0
5/22/2010,0,0,0,0,0,0,0,2,0,0,0,0
5/23/2010,0,0,0,0,1,1,0,0,0,0,1,0
5/24/2010,0,0,0,0,1,0,0,1,3,0,0,0
5/25/2010,0,1,0,0,0,0,0,0,1,0,0,0
5/26/2010,1,0,1,0,0,1,0,0,2,2,0,0
5/27/2010,5,1,1,1,3,1,1,1,11,1,0,1
5/28/2010,2,1,1,0,2,0,0,0,1,0,0,0
5/29/2010,0,0,0,0,0,0,0,1,1,0,0,0
5/30/2010,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2010,5,1,1,0,1,0,0,0,2,2,0,0
6/1/2010,8,8,3,5,1,1,3,1,4,0,0,0
6/2/2010,1,0,0,0,1,0,2,0,1,0,0,1
6/3/2010,2,2,2,0,1,0,1,2,3,0,0,0
6/4/2010,0,0,0,1,1,1,0,2,3,1,0,0
6/5/2010,0,2,0,0,0,0,0,0,1,0,0,0
6/6/2010,7,2,3,5,1,0,4,1,2,0,0,0
6/7/2010,0,1,2,0,0,0,0,0,4,1,0,0
6/8/2010,0,0,0,0,0,0,0,0,0,0,0,0
6/9/2010,0,3,0,0,0,0,0,2,2,0,0,0
6/10/2010,1,1,0,0,0,0,0,1,2,0,0,0
6/11/2010,1,0,1,0,0,0,1,1,1,0,0,0
6/12/2010,2,0,0,0,0,1,0,1,1,4,1,0
6/13/2010,5,1,2,1,0,1,2,1,3,0,0,0
6/14/2010,1,2,2,0,0,0,0,0,1,0,0,0
6/15/2010,2,1,1,0,0,0,3,0,1,1,0,0
6/16/2010,0,0,0,1,0,0,1,1,5,0,0,0
6/17/2010,0,0,0,0,0,0,1,1,4,0,0,0
6/18/2010,4,0,1,0,0,1,1,1,9,4,0,0
6/19/2010,0,0,0,0,0,0,0,1,3,0,0,0
